study_id,authors,year,title,venue,doi,category,key_contribution
1,"Tak et al.",2022,"Automatic Speaker Verification Spoofing and Deepfake Detection Using Wav2vec 2.0 and Data Augmentation",Odyssey 2022,10.21437/odyssey.2022-16,feature_fusion,"SSL-only front-end achieving ~90% relative improvement on ASVspoof 2021"
2,"Li et al.",2023,"Voice Deepfake Detection Using the Self-Supervised Pre-Training Model HuBERT",Applied Sciences,10.3390/app13148488,feature_fusion,"HuBERT + RawNet2 achieving 2.89% EER on ASVspoof 2021 LA"
3,"Tahaoglu",2025,"Robust DeepFake Audio Detection via an Improved NeXt-TDNN with Multi-Fused SSL Features",Applied Sciences,10.3390/app15179685,feature_fusion,"AMFF attention fusion of HuBERT+WavLM: 0.42% EER on 2019 LA"
4,"Tran et al.",2025,"Multi-level SSL Feature Gating for Audio Deepfake Detection",ACM Multimedia 2025,10.1145/3746027.3754568,feature_fusion,"Multi-kernel gated convolution with CKA diversity on XLS-R layers"
5,"Chakravarty & Dua",2023,"Data augmentation and hybrid feature amalgamation to detect audio deep fake attacks",Physica Scripta,10.1088/1402-4896/acea05,feature_fusion,"MFCC+GTCC concatenation: 1.6% EER on ASVspoof 2021 DF"
6,"Zhang et al.",2023,"Audio Anti-Spoofing Based on Audio Feature Fusion",Algorithms,10.3390/a16070317,feature_fusion,"Wav2vec2 + time-frequency fusion: 2.62% EER on DF"
7,"Liu et al.",2023,"ASVspoof 2021: Towards Spoofed and Deepfake Speech Detection in the Wild",IEEE/ACM TASLP,10.1109/taslp.2023.3285283,codec_aware,"54-team challenge results; systems show some codec resilience but lack generalization"
8,"Yuan et al.",2025,"Compressed Domain Invariant Adversarial Representation Learning for Robust Audio Deepfake Detection",IEEE SPL,10.1109/lsp.2025.3547850,codec_aware,"Adversarial codec discriminator (DANet-ATP) for codec-invariant features"
9,"Tak et al.",2022,"Rawboost: A Raw Data Boosting and Augmentation Method",ICASSP 2022,10.1109/icassp43922.2022.9746213,codec_aware,"Raw waveform augmentation: 27% improvement on ASVspoof 2021"
10,"Di Pierno et al.",2025,"End-to-end Audio Deepfake Detection from RAW Waveforms",IJCNN 2025,10.1109/ijcnn64981.2025.11229087,codec_aware,"RawNetLite with codec augmentation: 16.4% EER OOD"
11,"Shi et al.",2025,"Benchmarking Audio Deepfake Detection Robustness in Real-World Communication Scenarios",EUSIPCO 2025,10.23919/eusipco63237.2025.11226601,codec_aware,"ADD-C benchmark showing significant decline under codecs"
12,"Li et al.",2024,"Cross-Domain Audio Deepfake Detection: Dataset and Analysis",EMNLP 2024,10.18653/v1/2024.emnlp-main.286,codec_aware,"Neural codecs greatly affect accuracy; few-shot adaptation with ~1 min data"
13,"Martin-Donas et al.",2024,"Exploring Self-supervised Embeddings and Synthetic Data Augmentation",Interspeech 2024,10.21437/interspeech.2024-942,codec_aware,"SSL frozen features + vocoder augmentation SOTA"
14,"Schafer et al.",2024,"Robust audio deepfake detection: front-/back-end combinations for ASVspoof5",ASVspoof 2024,10.21437/asvspoof.2024-9,codec_aware,"AASIST+SSL+augmentation: min-DCF 0.174"
15,"Xie et al.",2024,"The Codecfake Dataset and Countermeasures for Universal Detection",arXiv,10.48550/arxiv.2405.04880,codec_aware,"CSAM strategy: 0.616% EER on CodecFake"
16,"Wu et al.",2024,"CodecFake: Enhancing Anti-Spoofing Against Codec-Based Speech Synthesis",arXiv,10.48550/arxiv.2406.07237,codec_aware,"Testing SOTA anti-spoofing on neural codec generation"
17,"Chen et al.",2025,"CodecFake+: Large-Scale Neural Audio Codec-Based Deepfake Speech Dataset",arXiv,10.48550/arxiv.2501.08238,codec_aware,"31 codec models in training; 17 in evaluation"
18,"Jung et al.",2022,"AASIST: Audio Anti-Spoofing Using Integrated Spectro-Temporal Graph Attention",ICASSP 2022,10.1109/icassp43922.2022.9747766,benchmark,"0.83% EER on 2019 LA; 20% relative improvement; 85K param AASIST-L"
19,"de Souza et al.",2025,"Improving Voice Spoofing Detection Through Multicepstral Feature Reduction",Sensors,10.3390/s25154821,feature_selection,"PCA/ANOVA/MI/RFE/LASSO feature selection: ~10% EER on ASVspoof 2017"
20,"Laakkonen et al.",2025,"Mixture of Low-Rank Adapter Experts in Generalizable Audio Deepfake Detection",arXiv,10.48550/arxiv.2509.13878,moe,"MoE-LoRA in wav2vec2 attention: 8.55% to 6.08% EER"
21,"Hao et al.",2025,"Wav2DF-TSL: Two-stage Learning with Hierarchical Experts Fusion",IJCNN 2025,10.1109/ijcnn64981.2025.11228261,moe,"HA-MoE: 27.5% relative EER improvement"
22,"El Kheir et al.",2025,"Comprehensive Layer-wise Analysis of SSL Models for Audio Deepfake Detection",Findings of NAACL 2025,10.18653/v1/2025.findings-naacl.227,ssl_analysis,"Lower SSL layers most discriminative for deepfake detection"
23,"Li et al.",2024,"A Survey on Speech Deepfake Detection",arXiv,10.48550/arxiv.2404.13914,survey,"200+ papers analyzed on detection pipeline components"
24,"Zhang et al.",2025,"Audio Deepfake Detection: What Has Been Achieved and What Lies Ahead",Sensors,10.3390/s25071989,survey,"Comprehensive review of frontend/backend/end-to-end approaches"
25,"Wang et al.",2024,"ASVspoof 5: Crowdsourced Speech Data Deepfakes and Adversarial Attacks",ASVspoof 2024,10.21437/asvspoof.2024-1,challenge,"ASVspoof 5 design and evaluation framework"
26,"Wang et al.",2025,"ASVspoof 5: Design collection and validation",Computer Speech & Language,10.1016/j.csl.2025.101825,challenge,"Complete ASVspoof 5 dataset validation methodology"
27,"Mohamed et al.",2022,"Self-Supervised Speech Representation Learning: A Review",IEEE JSTSP,10.1109/jstsp.2022.3207050,ssl_review,"Comprehensive SSL speech representation overview"
28,"Salvi et al.",2023,"A Robust Approach to Multimodal Deepfake Detection",Journal of Imaging,10.3390/jimaging9060122,multimodal,"Audio-visual fusion from separately-trained modality detectors"
